OpenGL Version: 4.0.0 - Build 10.18.10.4425
OpenGL Vendor: Intel
OpenGL Render: Intel(R) HD Graphics 4000
GLEW Version: 1.5.1
DiffX: -1 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:1
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 1 DiffY:0
DiffX: 13 DiffY:-2
DiffX: 27 DiffY:3
DiffX: 31 DiffY:2
DiffX: 37 DiffY:2
DiffX: 37 DiffY:0
DiffX: 42 DiffY:-3
DiffX: 59 DiffY:-6
DiffX: 62 DiffY:-3
DiffX: 53 DiffY:1
DiffX: 48 DiffY:3
DiffX: 38 DiffY:0
DiffX: 49 DiffY:-5
DiffX: 69 DiffY:-10
DiffX: 67 DiffY:-7
DiffX: 64 DiffY:-4
DiffX: 65 DiffY:-4
DiffX: 65 DiffY:-5
DiffX: 56 DiffY:-6
DiffX: 58 DiffY:-6
DiffX: 48 DiffY:-4
DiffX: 44 DiffY:-1
DiffX: 29 DiffY:-1
DiffX: 10 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 9 DiffY:3
DiffX: 39 DiffY:5
DiffX: 54 DiffY:5
DiffX: 40 DiffY:2
DiffX: 31 DiffY:2
DiffX: 9 DiffY:0
DiffX: 1 DiffY:0
DiffX: 1 DiffY:-1
DiffX: 9 DiffY:-1
DiffX: 11 DiffY:-1
DiffX: 10 DiffY:0
DiffX: 15 DiffY:0
DiffX: 12 DiffY:0
DiffX: 12 DiffY:1
DiffX: 7 DiffY:0
DiffX: 1 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: -8 DiffY:2
DiffX: -39 DiffY:5
DiffX: -55 DiffY:1
DiffX: -63 DiffY:-5
DiffX: -82 DiffY:-9
DiffX: -73 DiffY:-10
DiffX: -76 DiffY:-13
DiffX: -70 DiffY:-12
DiffX: -62 DiffY:-10
DiffX: -51 DiffY:-6
DiffX: -53 DiffY:-3
DiffX: -56 DiffY:-2
DiffX: -54 DiffY:-1
DiffX: -62 DiffY:-3
DiffX: -50 DiffY:-2
DiffX: -42 DiffY:-2
DiffX: -31 DiffY:0
DiffX: -27 DiffY:1
DiffX: -21 DiffY:1
DiffX: -19 DiffY:3
DiffX: -15 DiffY:2
DiffX: -14 DiffY:2
DiffX: -15 DiffY:1
DiffX: -13 DiffY:2
DiffX: -15 DiffY:2
DiffX: -11 DiffY:1
DiffX: -8 DiffY:0
DiffX: -6 DiffY:2
DiffX: -8 DiffY:2
DiffX: -6 DiffY:1
DiffX: -1 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: -2 DiffY:1
DiffX: -13 DiffY:4
DiffX: -21 DiffY:4
DiffX: -22 DiffY:1
DiffX: -15 DiffY:0
DiffX: -10 DiffY:1
DiffX: -14 DiffY:2
DiffX: -20 DiffY:1
DiffX: -16 DiffY:0
DiffX: -11 DiffY:0
DiffX: -4 DiffY:0
DiffX: -1 DiffY:0
DiffX: 0 DiffY:0
DiffX: -1 DiffY:0
DiffX: -2 DiffY:0
DiffX: -1 DiffY:1
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: -2 DiffY:1
DiffX: -5 DiffY:2
DiffX: -6 DiffY:3
DiffX: -5 DiffY:2
DiffX: -6 DiffY:3
DiffX: -9 DiffY:6
DiffX: -10 DiffY:5
DiffX: -11 DiffY:7
DiffX: -12 DiffY:7
DiffX: -12 DiffY:5
DiffX: -6 DiffY:2
